platform,app_name,date,rating,title,text
Google Play,com.nextbillion.groww,2025-12-04T20:16:57Z,5,Gopal Verma,very very good app hai
Google Play,com.nextbillion.groww,2025-12-04T19:19:31Z,5,ADV Rupak Roy choudhury,Easy to operate. Good 👍
Google Play,com.nextbillion.groww,2025-12-04T19:05:02Z,4,Hemant Ratan,The chart seems a bit slow. It sometimes hangs. It would be great if this problem could be resolved.
Google Play,com.nextbillion.groww,2025-12-04T19:03:51Z,3,BASAVARAJA NT,"Dear Grow, kindly include the Options strategy, payoff diagram with decay and more. we need to depend on other apps to get this info. Thanks for understanding."
Google Play,com.nextbillion.groww,2025-12-04T18:57:54Z,5,Bhanu Priya,"I started small with a few mutual funds, and now I track all my returns in one place. The layout shows invested amount, profit, and CAGR clearly. It keeps me motivated to invest regularly without needing spreadsheets."
Google Play,com.nextbillion.groww,2025-12-04T18:54:36Z,1,Ramesh chand,iska khud car stock hi down chal raha hai yah ek froud app hai jiske svam ke stock par hi logo ka bharosa nahi hai
Google Play,com.nextbillion.groww,2025-12-04T18:50:06Z,4,Trinath,I find the performance tracking for my investments quite intuitive. The interface shows long-term and short-term returns side by side. Adding tax-adjusted or post-expense ratio returns would make it more insightful for serious investors.
Google Play,com.nextbillion.groww,2025-12-04T18:47:35Z,5,Sunitha Iyer,"I appreciate how quick and stable the trading execution is. Even when the market is volatile, orders go through without lag. The app also shows clear profit and loss summaries, which is helpful for tracking my daily trades."
Google Play,com.nextbillion.groww,2025-12-04T18:17:15Z,4,Dheeraj,This app works well for casual traders who don’t need complex tools. Placing limit and market orders feels seamless. It could add options like trailing stop loss or bracket orders to make trading more flexible.
Google Play,com.nextbillion.groww,2025-12-04T18:14:48Z,5,Radha Krishna,"The latest update made the interface faster and more intuitive. I love how I can switch from SIPs to stocks seamlessly. The portfolio section loads instantly, and charts open without delay, making it perfect for daily use."
Google Play,com.nextbillion.groww,2025-12-04T17:54:52Z,4,Kanaka Mahalaxmi,"I like the clean and structured dashboard design. It helps me find what I need without extra effort. The color scheme is soft on the eyes, and even while checking SIP or fund details late at night, everything looks balanced and easy to read."
Google Play,com.nextbillion.groww,2025-12-04T17:52:45Z,3,Siddhesh Shivatare,Also Add Bitcoin Trading And Oi Chain Need An Improvement 😞 As It Don't Provide Lots Of Information 😔.
Google Play,com.nextbillion.groww,2025-12-04T17:24:33Z,5,Nilesh R Patil,"please add stochastic indicator, which is very useful"
Google Play,com.nextbillion.groww,2025-12-04T17:15:39Z,1,VK RANA,no starting grow Stoket Mutual
Google Play,com.nextbillion.groww,2025-12-04T16:22:53Z,1,BLACK DAY BEATS,extreme money deduction some times 500 rs for -17 loss
Google Play,com.nextbillion.groww,2025-12-04T15:48:26Z,1,Pavan G V,I don't like this app now a days became more hidden charges all f and o money gobe for charges
Google Play,com.nextbillion.groww,2025-12-04T15:45:51Z,1,Ashish Shinde,worst app --- i already diposit money last 9 days ago but not yet received in groww app and refund in my bank
Google Play,com.nextbillion.groww,2025-12-04T15:39:42Z,3,Jayshree Hariyani,"Dear developers, stop removing customisation and features from TradingView chart as new Groww chart is too basic."
Google Play,com.nextbillion.groww,2025-12-04T15:29:32Z,3,Prashant,"groww should re add that feature that shows instant up/down within 5 min ,15min and 1 hour that was shown in an earlier version but now I am not getting that in positions tab. for example a stock moves up/down instantly then it can be seen inside that window. this feature was added previously but now as you removed."
Google Play,com.nextbillion.groww,2025-12-04T15:08:23Z,1,Ayan Rana,"at time of withdrawal, groww do not mention about extra brokerage charges . very bad don't use , use paytm or zerodha instead"
Google Play,com.nextbillion.groww,2025-12-04T14:50:20Z,5,Rupam Bhattacharjee,"SWP and STP set up and status should be visible from the app. as of now, it feels like app is not the ultimate destination for all crucial features"
Google Play,com.nextbillion.groww,2025-12-04T14:44:22Z,1,Rakesh Roushan,It is very bad for other apps before nowadays this app will improve so it like app
Google Play,com.nextbillion.groww,2025-12-04T14:40:39Z,1,Amol Gaikwad,"Groww charts are pathetic, because they do not work smoothly with ease, also the loading time of the charts is very very slow, which causes late execution in the market, also the charts keep lagging and flickering during live markets, please fix this issue."
Google Play,com.nextbillion.groww,2025-12-04T14:32:02Z,4,Viraj JW Marriott,easy to use and understand
Google Play,com.nextbillion.groww,2025-12-04T14:13:33Z,5,D.G gaming,super app for trading
Google Play,com.nextbillion.groww,2025-12-04T14:08:27Z,4,Sandeep Jangra,everything is fine but in this update percentage increase or decrease since added in watchlist is not showing which was very helpful. please add the same feature.
Google Play,com.nextbillion.groww,2025-12-04T13:06:07Z,5,Ajay Singh,very good experience
Google Play,com.nextbillion.groww,2025-12-04T13:04:22Z,4,Royal Star,"I tried a few investment apps before settling on Groww. It’s one of the easiest to understand in terms of fund selection and SIP management. Some pages could load faster, but the overall experience makes investing feel simple and approachable."
Google Play,com.nextbillion.groww,2025-12-04T12:47:53Z,2,Mitul Gayakvad,drag & drop SL/TP TRADE right on Stop loss and target levels directly on the chart with a simple drag& drop . just grab your sl or tp line and move it where you it. why it matters : * perfect to fast- placed intraday and setup * adjust your SL/tp on the fly by reacting to price action *visual intuitive and superfast
Google Play,com.nextbillion.groww,2025-12-04T12:33:39Z,1,pavan kumar,"do not invest or track on Bonds from Groww app, you will end up with very bad experience, they don't give you proper response and push their flaws on NCDs or RTAs. still same response after multiple mails to their support"
Google Play,com.nextbillion.groww,2025-12-04T12:25:11Z,4,Anu Maurya,open your demat account and US grow app
Google Play,com.nextbillion.groww,2025-12-04T12:17:39Z,5,Dhara v Kotecha,best treding app in india
Google Play,com.nextbillion.groww,2025-12-04T11:20:41Z,5,Sonu Bhatt,good thank you best my broker
Google Play,com.nextbillion.groww,2025-12-04T11:14:08Z,5,NAVI,"I'm a user of groww . I my opinion it's very user friendly, one tap trade is very quick buy and exit"
Google Play,com.nextbillion.groww,2025-12-04T10:54:19Z,5,vinod kumar,"Hello, I would like to tell you two things about mutual funds. First, there is a step up in mutual funds, it should be in percentage and second, mutual fund SIP should be done on daily basis and also on weekly basis, this will make the application even more attractive."
Google Play,com.nextbillion.groww,2025-12-04T10:47:06Z,1,Kondal Rao Kondal Rao,worst app ever I have lost 500 this app is taking all money saying charges
Google Play,com.nextbillion.groww,2025-12-04T10:08:30Z,5,Ajesh Rca,Ajesh Rca Nice treding app
Google Play,com.nextbillion.groww,2025-12-04T09:48:03Z,5,Divyansh Singh Rajput,its a nice app having nice experience with it
Google Play,com.nextbillion.groww,2025-12-04T09:25:42Z,2,kk das,I like the simplicity of the app but the dashboard seems messy if we have multiple funds of different categories. there is no way to group or see funds under certain categories.
Google Play,com.nextbillion.groww,2025-12-04T08:31:44Z,5,Banwari Pareek,yah bahut iji hai aur faydemand hai
Google Play,com.nextbillion.groww,2025-12-04T08:07:34Z,5,Keka Mandal,very good app for soloing all the investment.
Google Play,com.nextbillion.groww,2025-12-04T06:35:48Z,5,Tapan Raj,very nice service service service
Google Play,com.nextbillion.groww,2025-12-03T23:51:55Z,3,vikas laxkar,if you want to empty ur bank account use this app.
Google Play,com.nextbillion.groww,2025-12-03T23:31:07Z,1,Ramandeep Kumar,"very poor customer service , many time i request to close commodity Trading segment but they are not closing. so very poor and very horrible app. not able to trust. so i am going quit trading on this app."
Google Play,com.nextbillion.groww,2025-12-03T23:13:03Z,5,Shalinee Sahoo,it's been 1.5 years I am using groww. However since then till now they have improved a lot. They have improved their UI which is very easy for beginners. I prefer this app over any other investment apps coz of it's simple UI. I have invested in stocks and mutual fund through this app as the steps were very easy. A beginner can easily understand how to use this app and even portfolio tracking is also very easy using this app.
Google Play,com.nextbillion.groww,2025-12-03T21:51:38Z,5,Aditya Tiwari,very nice app for stock market
Google Play,com.nextbillion.groww,2025-12-03T20:54:55Z,3,Abhi Abhi,"bro , brokerage and taxes are too much"
Google Play,com.nextbillion.groww,2025-12-03T20:50:20Z,3,iTs RiTik,need update desktop 🖥️ .
Google Play,com.nextbillion.groww,2025-12-03T18:53:56Z,2,Sanjay Verma,In ipo section HNI category is missing. Please add this Category
Google Play,com.nextbillion.groww,2025-12-03T18:40:39Z,1,Ratadiya Bavku,add small amount trading
Google Play,com.nextbillion.groww,2025-12-03T18:17:06Z,1,Anupama Kattimani,"tpin not taking even not showing keypad for Tpin, not helpful"
Google Play,com.nextbillion.groww,2025-12-03T18:09:30Z,3,ADIL SHAH,"Please add that lets you see the holdings of the mutual fund. Also stocks holding page is way too ineffecient, requiring numerous taps to see P&L and current share price change, its a hassle if there are too many stocks, and yes the about section of a company should include summery of what company actually does."
Google Play,com.nextbillion.groww,2025-12-03T17:53:35Z,5,Hemanth Raja kuncham,"All ok, but IPO for SME were not available"
Google Play,com.nextbillion.groww,2025-12-03T17:30:31Z,5,SAJID Sk,my first trading and investment app I loved it 😊
Google Play,com.nextbillion.groww,2025-12-03T17:07:44Z,5,Ghosh Su,so good app I am 15 you are good 😊😊
Google Play,com.nextbillion.groww,2025-12-03T16:56:37Z,2,Rehan Shaikh,it takes way to long to withdraw money. once the transation is complete in the market money withdrawel should not take a minute.
Google Play,com.nextbillion.groww,2025-12-03T16:09:45Z,1,Md Shamim Ansari,It is not installing on my mobile
Google Play,com.nextbillion.groww,2025-12-03T16:03:27Z,1,OshoChandra RamChandra Nayak,"Useless, Suspicious, pretentious, irresponsible activities are being done by it's staff members. WhyCYBERCRIME.GOV.IN, SEBI, CONSUMER COURT, eDAAKHILA.GOV.IN are there ? Worst, irresponsible customer support personnels. Is Groww a SCAM ! Very very unpleasant experiences. Some staff members are leaking investors personal sensitive data, why ? In this way, Groww is going to loose it's authenticity & goodwill very soon. Why appointing such staff who're harrassing thy customers ? Is GROWW a FRAUD !!"
Google Play,com.nextbillion.groww,2025-12-03T15:38:04Z,5,Chirag Aggarwal,very great app for options
Google Play,com.nextbillion.groww,2025-12-03T15:16:39Z,1,WANTED INDIAN,dont use this app for stocks too much brokerage and many extra charges applied might be use full for high end traders not fit for small and medium level traders
Google Play,com.nextbillion.groww,2025-12-03T14:59:08Z,5,manoj kalantre,very simple and good app. Beginners also can do everything regarding investment.
Google Play,com.nextbillion.groww,2025-12-03T14:38:00Z,1,Krishna Tamil,my account cash aoto pay please givi I am not open this app but cash transfer 😭💔 please 🙏 give 112 rupees
Google Play,com.nextbillion.groww,2025-12-03T14:32:48Z,5,Rushikesh Pawar,Good app for investment and option trading
Google Play,com.nextbillion.groww,2025-12-03T13:28:11Z,2,mudit vijay,xirr for individual stock is not available which you hold. which is available in zerodha
Google Play,com.nextbillion.groww,2025-12-03T13:02:49Z,4,MR YOGii,"It's all good. But can you add an option/feature to hide some stocks/MF which we bought, at their respective dashboard page/section. As we all bought some stocks/MFs for short Time and as well as Long Time. While looking at the Short Time it always got eyes to Long Time stocks/MF, which affect mind a little bit. If there is an option to hide some stocks we can avoid to see them at day by day trading and keep them for Long Time."
Google Play,com.nextbillion.groww,2025-12-03T13:02:38Z,5,Rk Gudda,excellent experience
Google Play,com.nextbillion.groww,2025-12-03T12:15:36Z,5,chetan mankar,Groww More Ratings: Brokerage - Excellent Account Maintenance Fees - Excellent Website Usability - Excellent Research Capabilities - Excellent Customer Service - Excellent
Google Play,com.nextbillion.groww,2025-12-03T12:01:13Z,4,Harsh Shiyaniya,I am using this app since 3 years.It's been great experience with Groww Family since few months It shows me bug in my portfolio tab For example in Portfolio allocation it shows 18% on Small Cap but I clicked on that It shows me 1 specific share which 0.00% allocation and losses of 571 rs in that share make my small cap allocation negative and overall portfolio also negative..Please make necessary changes in new updates
Google Play,com.nextbillion.groww,2025-12-03T11:42:42Z,5,Mahabub Sayed,very good and immediate response
Google Play,com.nextbillion.groww,2025-12-03T11:16:21Z,5,pawan yeotkar,very easy and reliable app.
Google Play,com.nextbillion.groww,2025-12-03T10:57:24Z,5,Khemraj Patel,Trusted money platform
Google Play,com.nextbillion.groww,2025-12-03T10:49:04Z,5,Piyush Bisen,"the best app for investing. I love the interface and the evolutionary journey of groww makes me feel proud. They have brought changes step by step to make sure that customers cope up with the tech and small tips and tricks here and there is what I like the most, for example it shows the % change in stock price from the day I added that stock into my watchlist and many more"
Google Play,com.nextbillion.groww,2025-12-03T10:43:20Z,5,Meenakshi Soni,very simple app to handel😊
Google Play,com.nextbillion.groww,2025-12-03T10:38:20Z,1,Hetansh Viradiya,worst trading experience and i open account money was automatically deducted and not shown transaction history and i withdraw money but not added in my account
Google Play,com.nextbillion.groww,2025-12-03T10:30:29Z,5,Ayub Ali,"I have been using groww for a while, I use groww mainly for mutual funds and SIPs, and the whole process feels simple and organised. Tracking all my investments in one place is really easy."
Google Play,com.nextbillion.groww,2025-12-03T10:25:21Z,5,GULSAN NISHAD,best trading app app is better then
Google Play,com.nextbillion.groww,2025-12-03T10:21:37Z,5,Jyothi R,"This platform is user-friendly, with seamless execution for stock trading and investing. I love the detailed market insights and the ability to trade in equity, derivatives, and mutual funds all in one place. Their customer service is top-notch too, making trading stress-free. and very easy to see the sip viewand graph."
Google Play,com.nextbillion.groww,2025-12-03T09:52:50Z,1,Naresh Raj Purith,it is worst app for brokerage high charge don't use
Google Play,com.nextbillion.groww,2025-12-03T09:30:05Z,5,ramanath bhat,good. please add multiwindow option when we open the chart. otherwise we have to go back every time and open the chat for the search of new company otherwise everything is sooper..
Google Play,com.nextbillion.groww,2025-12-03T08:58:17Z,5,Ram Devarth,very good app easy learning धन्यवाद धन्यवाद धन्यवाद
Google Play,com.nextbillion.groww,2025-12-03T08:42:34Z,5,Bhishm Sahu,very good app.........
Google Play,com.nextbillion.groww,2025-12-03T08:32:24Z,5,Rather Tanveer Ahmed,best application for market investment in india
Google Play,com.nextbillion.groww,2025-12-03T08:19:07Z,5,Jyoti Patil,it's very easy to handle
Google Play,com.nextbillion.groww,2025-12-03T07:22:52Z,1,Vishnu Vijayan,There was an issue with the SIP mutual fund & I tried to contact them all the way. And my calls are simply cancelled & when I tried to send a message through groww still no response. Now in case of an emergency I don't know what I should do or whom I need to contact for support. I hope this issue gets rectified soon.
